# goAML FIU-Portal – Einreichungsprotokoll Musterbank AG
# BLZ 500 123 45 | Exportiert: 2025-01-02
# Zeitraum: 01.01.2024 – 31.12.2024

SAR_REF              EINGANG_INTERN  EINREICHUNG_FIU  BEARBEITUNGSZEIT  STATUS          FIU_BESTÄTIGUNG
SAR-2024-1069      2024-08-24  2024-08-25           1 Tage              EINGEREICHT     goAML-806181
SAR-2024-1070      2024-08-22  2024-08-24           2 Tage              EINGEREICHT     goAML-864949
SAR-2024-1071      2024-07-30  2024-07-31           1 Tage              EINGEREICHT     goAML-856342
SAR-2024-1072      2024-01-07  2024-01-08           1 Tage              EINGEREICHT     goAML-804124
SAR-2024-1073      2024-07-15  2024-07-17           2 Tage              EINGEREICHT     goAML-805026
SAR-2024-1074      2024-11-26  2024-11-29           3 Tage              EINGEREICHT     goAML-878524
SAR-2024-1075      2024-05-14  2024-05-16           2 Tage              EINGEREICHT     goAML-871153
SAR-2024-1076      2024-12-12  2024-12-13           1 Tage              EINGEREICHT     goAML-809137
SAR-2024-1077      2024-01-28  2024-02-01           4 Tage              EINGEREICHT     goAML-867058
SAR-2024-1078      2024-02-10  2024-02-12           2 Tage              EINGEREICHT     goAML-896675
SAR-2024-1079      2024-09-07  2024-09-09           2 Tage              EINGEREICHT     goAML-870975
SAR-2024-1080      2024-10-21  2024-10-24           3 Tage              EINGEREICHT     goAML-842553
SAR-2024-1081      2024-09-01  2024-09-03           2 Tage              EINGEREICHT     goAML-824889
SAR-2024-1082      2024-09-09  2024-09-13           4 Tage              EINGEREICHT     goAML-874134
SAR-2024-1083      2024-07-20  2024-07-22           2 Tage              EINGEREICHT     goAML-852679
SAR-2024-1084      2024-02-23  2024-02-25           2 Tage              EINGEREICHT     goAML-880461
SAR-2024-1085      2024-12-05  2024-12-08           3 Tage              EINGEREICHT     goAML-884337
SAR-2024-1086      2024-12-12  2024-12-15           3 Tage              EINGEREICHT     goAML-844509
SAR-2024-1087      2024-11-29  2024-12-03           4 Tage              EINGEREICHT     goAML-825076
SAR-2024-1088      2024-09-18  2024-09-21           3 Tage              EINGEREICHT     goAML-884233

# ZUSAMMENFASSUNG: 89 SARs eingereicht | Durchschn. Bearbeitungszeit: 3.2 Tage
# Alle SARs innerhalb der gesetzlichen Frist (§ 43 GwG) eingereicht: JA
